other_variant our_variant phenotype phenotype_group other_variant_chr other_variant_start other_variant_rank our_variant_chr our_variant_start our_variant_rank phenotype_chr phenotype_start distance_between_variants distance_between_other_variant_and_pheno other_variant_region_index our_variant_region_index region_start region_end variant_count_in_region RTC D' r^2
rs5747327 rs10537282 ENSG00000099968.13 ENSG00000099968.13 22 18169212 0 22 18157841 0 22 18111621 11371 57591 64975 64975 18063447 18229446 486 0.940329 NA 0.439339
rs2040771 rs5746671 ENSG00000100075.5 ENSG00000100075.5 22 19161935 0 22 19160899 0 22 19166343 1036 4408 65005 65005 19147447 19274446 176 0.982955 NA 0.939847
rs701428 rs887765 ENSG00000040608.9 ENSG00000040608.9 22 20228542 0 22 20234817 0 22 20270769 6275 42227 65043 65043 20228447 20273446 74 0.932432 NA 0.255707
rs2330634 rs1006771 ENSG00000099974.7 ENSG00000099974.7 22 24250795 0 22 24314006 0 22 24309089 63211 58294 65163 65163 24242447 24404446 474 0.915612 NA 0.472097
rs2330634 rs5751776 ENSG00000099984.6 ENSG00000099984.6 22 24250795 0 22 24266954 0 22 24322339 16159 71544 65163 65163 24242447 24404446 474 0.945148 NA 0.838591
rs2739330 rs5751776 ENSG00000099984.6 ENSG00000099984.6 22 24295286 0 22 24266954 0 22 24322339 28332 27053 65163 65163 24242447 24404446 474 0.974684 NA 0.858192
rs2330634 rs5751776 ENSG00000133433.6 ENSG00000133433.6 22 24250795 0 22 24266954 0 22 24303373 16159 52578 65163 65163 24242447 24404446 474 0.940928 NA 0.838591
rs2739330 rs5751776 ENSG00000133433.6 ENSG00000133433.6 22 24295286 0 22 24266954 0 22 24303373 28332 8087 65163 65163 24242447 24404446 474 0.970464 NA 0.858192
rs2739330 rs114323341 ENSG00000184674.7 ENSG00000184674.7 22 24295286 0 22 24366843 0 22 24384680 71557 89394 65163 65163 24242447 24404446 474 0.943038 NA 0.531192
rs2073398 rs199837761 ENSG00000178026.8 ENSG00000178026.8 22 24999104 0 22 24992953 0 22 24989175 6151 9929 65175 65175 24987447 25063446 227 0.951542 NA 0.776159
rs4820885 rs5753236 ENSG00000185339.4 ENSG00000185339.4 22 31012756 0 22 31009820 0 22 31002825 2936 9931 65379 65379 30982447 31060446 224 0.986607 NA 0.990863
rs743777 rs229484 ENSG00000100385.8 ENSG00000100385.8 22 37551607 0 22 37554839 0 22 37571094 3232 19487 65583 65583 37545501 37557500 16 0.9375 NA 0.800647
